phoneme,source
tʷʲ,phoible
ʒ̃,phoible
k̚ʰ,phoible
ɡ̥ʷ,phoible
kh,phoible
ˀɓ,phoible
ʷɬ,phoible
kɣʷ,phoible
nn̥,phoible
β̞̜,phoible
ɵ̞̯,phoible
hr,phoible
ƥ,phoible
bɰ,phoible
ɶ̝ː,phoible
t̻ˡʲ,phoible
ħ̃,phoible
ɡw,phoible
ɺ̥ʲ,phoible
ɨ̯̃,phoible
ɱ̩,phoible
ɔ̃i,phoible
kʔ,phoible
o̽ə,phoible
ɟɲ,phoible
əɛ,phoible
œ̝,phoible
p̃,phoible
χ̃,phoible
æe̤̯,phoible
ɔ̥,phoible
tⁿ,phoible
oːɒ̯ˤ,phoible
˩ˀ,phoible
hm,phoible
hl,phoible
d̠̈,phoible
hts,phoible
ɖ̚ˀ,phoible
mʙ,phoible
ẽʲ,phoible
t̥ʃ,phoible
lj,phoible
t͈̚,phoible
ɵˑ,phoible
tp,phoible
d̪ʉ,phoible
ɯ̞̃,phoible
zd̪,phoible
çp,phoible
d̻ˡʲ,phoible
t̚ˤ,phoible
hpː,phoible
˦˥˩,phoible
ɳ̆,phoible
ʋ̃,phoible
t̚ʲ,phoible
a̯e,phoible
u̟ː,phoible
d͉zː,phoible
wʔ,phoible
t̺β,phoible
ɵ̞̃,phoible
n̥ˑ,phoible
o,phoible
n̥d,phoible
j̆,phoible
pʔ,phoible
ɥː,phoible
ɡj,phoible
˧̆,phoible
ʰtːs,phoible
ɖθ̜,phoible
k̟ʼ,phoible
ɡbⁿ,phoible
j̰̃,phoible
ɡˠ,phoible
uj,phoible
ɲɲ̥ː,phoible
ɛ̃i,phoible
o̯u,phoible
c̬ʰ,phoible
k̥ː,phoible
dj,phoible
ɔ̴,phoible
çt̠ʃ,phoible
n̻̩,phoible
ŋ̚,phoible
jj̥,phoible
ɻ̥̩,phoible
ə̟̝,phoible
ɬ̩,phoible
d̪̥ˠ,phoible
ia̯,phoible
ə̝,phoible
tɥ,phoible
˥̆,phoible
nn̥ː,phoible
dʔ,phoible
c̚,phoible
θ̬,phoible
b̥ʲ,phoible
aɔ̯,phoible
p̚ʷˠ,phoible
ʱm̥,phoible
ʔtɕ̚,phoible
ʈʲ,phoible
ˀŋ̟,phoible
ɳɖ̤,phoible
k̬ʰ,phoible
ɽʲ,phoible
ʰs,phoible
θ͉,phoible
ɯ̥,phoible
pᶣ,phoible
e̞̤,phoible
ɣβ,phoible
w̟,phoible
ɡǁqʰ,phoible
ˀŋɡ,phoible
ɖʲ,phoible
ɔ̴ː,phoible
d͉z,phoible
ɴʘɢ,phoible
p̰ʲ,phoible
t̪ˡ,phoible
uø,phoible
ɡ̥,phoible
ɯ̃i,phoible
ɡ̞̤,phoible
ʒ͈,phoible
ɤɰ,phoible
kx̟,phoible
z̪̥ˤ,phoible
n̠d̠ʒ̤,phoible
ɡ̟͈,phoible
hˤ,phoible
nʷˠ,phoible
ɾ̚,phoible
ɑ̰,phoible
o̞˞,phoible
ɥiɛ,phoible
t̥̚,phoible
ˀbʷ,phoible
ʔm,phoible
ɯ̈,phoible
ɟ̠,phoible
ə̈,phoible
m̻,phoible
tʲˀ,phoible
ʱn̥,phoible
ɽ̥,phoible
ɨ̯,phoible
ɖʷˠ,phoible
ʌˤ,phoible
tɬʲʼ,phoible
aj,phoible
k͈̚,phoible
ɒˑ,phoible
ʔʷʲ,phoible
ʱŋ̊,phoible
o̤i,phoible
hŋ,phoible
tʷˠʰ,phoible
ʔd̠ʒ,phoible
oo̞,phoible
hp,phoible
ɟ̚,phoible
d̚,phoible
ɾ̩,phoible
ʰk̟ː,phoible
v̠,phoible
ɱˠ,phoible
ʝi,phoible
ʔt,phoible
ɲ̊dʑ,phoible
z̃ˑ,phoible
ph,phoible
ʔŋ̰ʷ,phoible
r̥ˑ,phoible
ɪ̥,phoible
ŋ̟ʲ,phoible
ʛː,phoible
eʔ,phoible
e̤i,phoible
p̚ʲ,phoible
ŋ̥ˑ,phoible
ɤe,phoible
nʔt̻̚,phoible
t̟s̟ʰ,phoible
oo̞ː,phoible
ɦ̥,phoible
θt,phoible
˧˩̆,phoible
d̪ʒ|d̠ʒ,phoible
ɡ̃,phoible
kp̚,phoible
ʑʰ,phoible
ɔ̥ː,phoible
ʷʔ,phoible
ɟb,phoible
ej,phoible
ʲh,phoible
ʒʃ,phoible
ă̤,phoible
dz̰,phoible
pw,phoible
ʔl,phoible
æ̥,phoible
nj,phoible
fˤ,phoible
ɛ̥,phoible
ʲʈ,phoible
d̠ʒʃ,phoible
ĕ̤,phoible
w̹,phoible
ɵ̠̞,phoible
tw,phoible
ʏ̥̆,phoible
ɟ̥ʝ,phoible
sʷˠ,phoible
j͉,phoible
d̥̚,phoible
ɵu,phoible
n̻̥ʲ,phoible
th,phoible
tˡ,phoible
ɢʲ,phoible
ʔt̠ʃ,phoible
ʈˡ,phoible
ɣ͈ʷː,phoible
e̠ː,phoible
ɑ̴ː,phoible
ɹ̚,phoible
β̞̤̃,phoible
c̠ʰ,phoible
ch,phoible
v͈,phoible
β̥,phoible
uɘ,phoible
ʔl̰,phoible
t̠̚,phoible
ɪ̰ː,phoible
ɖˡ,phoible
p͉̚,phoible
ɨʲ,phoible
p̚,phoible
pⁿ,phoible
ø̽ə,phoible
ȶȵʷ,phoible
ɾ̥ʷ,phoible
f̬,phoible
bˡ,phoible
ntʲʰ,phoible
βʷˠ,phoible
zʷˠ,phoible
ʷuː,phoible
wə,phoible
ʔy,phoible
ʔp,phoible
mb̤,phoible
rr̥ː,phoible
ʔi,phoible
ɜ̯,phoible
ʲç,phoible
l̪̥ˠ,phoible
ʊ̥̆,phoible
ʱl̥,phoible
ʔʃ,phoible
ɑ̴,phoible
ɐ̃˞,phoible
ɔːʉ,phoible
t̺̚,phoible
ɛ̃ˑ,phoible
ɛʌ,phoible
ɑ̟,phoible
ɰʷ,phoible
ɖ̥,phoible
ʈ̚ˀ,phoible
ʈ̚,phoible
dz̪ʲ,phoible
ʷɮ,phoible
i̤i̯,phoible
t̪̰ʲ,phoible
oĭ,phoible
cçʰ,ucla
pɸʰ,phoible
ɐ̯,phoible
p̚ˀ,phoible
iɘ,phoible
ɰə,phoible
æ̆,phoible
ˀβ,phoible
ʔp̚,phoible
ee̞,phoible
qǂʰ,phoible
txʷ,phoible
ɟ̟̚,phoible
ɖ̚,phoible
n̥ʷ,phoible
n̚,phoible
a̝,phoible
db,phoible
eːɐ,phoible
dnʷ,phoible
ɯ̞̃ː,phoible
bj,phoible
ʔo,phoible
əɹ,phoible
q,phoible
ɔ̆̃,phoible
çk,phoible
ʷdz,phoible
ŋ̟̥ˑ,phoible
ðˑ,phoible
ʉ̠ː,phoible
pˡ,phoible
ʔk̚,phoible
k̚,phoible
əj,phoible
tsxʷ,phoible
i̥ː,phoible
æə̯,phoible
ɟ̥,phoible
l̻ʲ,phoible
oʔ,phoible
dzʷˠ,phoible
ɪ˞,phoible
qxʼ,phoible
ʊɨ,phoible
ɡǀqʰ,phoible
d̻ⁿʲ,phoible
htː,phoible
t̠ʃʷˠ,phoible
ɐ̝,phoible
ð̥,phoible
ŭ̥,phoible
ʔ̚ʷ,phoible
t̬,phoible
kɬʼ,phoible
iʲ,phoible
jə,phoible
wa,phoible
øi̯,phoible
eˤː,phoible
fʷˤː,phoible
t̻̚,phoible
ɾ,phoible
ɡ̠,phoible
bʷˤː,phoible
ɹ̃,phoible
ɡʘqʰ,phoible
χ͉,phoible
lʷˠ,phoible
ɸ̃ʷˠ,phoible
ə̠̃i,phoible
hw,phoible
t̠ʃɥ,phoible
kʷˤ,phoible
z̪̥ˤː,phoible
ʷo,phoible
ɮʷʲ,phoible
æ̝,phoible
ht̠ʃ,phoible
ʃ̩,phoible
ĩˤ,phoible
zʷʲ,phoible
e̞ˑ,phoible
ʒ̥ˤː,phoible
d̪n̪ʷ,phoible
ʊ̜ː,phoible
ɡx,phoible
mm̥ː,phoible
ɡ̚,phoible
ll̥ː,phoible
ɑɔ,phoible
cp,phoible
ŋm̩,phoible
ʀ̥ʁ̥,phoible
k̟ʲ,phoible
ʷk,phoible
k̟͉,phoible
ɡǃqʱ,phoible
ɪ̃̈,phoible
ʊ̃̈,phoible
k͉̚,phoible
d̠ʒ̥,phoible
ẅiy,phoible
b̥ˠ,phoible
ʃ̃,phoible
m̥̩,phoible
ʈʲʰ,phoible
ʐd̪,phoible
ɖ̞̤,phoible
ʔɒ,phoible
ʷoː,phoible
ʃʷʲ,phoible
b̞,phoible
ɑ̃ˑ,phoible
ʲɭ,phoible
ʈʷˠ,phoible
kxʲ,phoible
m̩v,phoible
z͇̥,phoible
pɸ̪ʰ,phoible
p̬,phoible
ɾɹ̞,phoible
˩̤̆,phoible
t̻ⁿʲ,phoible
ɲɲ̥,phoible
e̽ə,phoible
ˀt̠ʃ,phoible
ç̃ʷ,phoible
qʼχ,phoible
d̠͓,phoible
kw,phoible
kⁿ,phoible
ɤu,phoible
ʔᶑ,phoible
t̪ʔ,phoible
üʲ,phoible
fˤː,phoible
ɔʌ̯,phoible
ht,phoible
ɴɢǃqʰ,phoible
ə̥̆,phoible
œ,phoible
ʕˀ,phoible
ɑ̃i,phoible
ɯ̞̥̆,phoible
ɯ̯,phoible
dɪ̯,phoible
ʈ̚ʰ,phoible
w̰̃,phoible
r̞,phoible
ʐʰ,phoible
ɖ̻,phoible
ɳʲ,phoible
t̪θ͉,phoible
n̪̥ˠ,phoible
k̠,phoible
ɛ̤i,phoible
ə̯iː,phoible
t̚ˀ,phoible
tsʷʲ,phoible
œə,phoible
jwa,phoible
ʃt̠ʃ,phoible
˦˥̆,phoible
oj,phoible
jɪ,phoible
ɪə̯,phoible
ʲɖɳ,phoible
tʷˠ,phoible
h̬,phoible
qʘʰ,phoible
ɡ̥̊,phoible
˩˨˩,phoible
y,phoible
ɾ̃ʲ,phoible
ŋmɡbʷ,phoible
ɣ̃ʷ,phoible
çts,phoible
ɾn,phoible
vv̥,phoible
x͈ʷː,phoible
ʷs,phoible
ʊ̰ː,phoible
ŋ̩̊,phoible
l̩ˠ,phoible
t̃,phoible
ŋ̟̥,phoible
˦˩̰,phoible
t̠ʃ̩ʼ,phoible
ɡ̥ʲ,phoible
ñ,phoible
mʷˤː,phoible
tsʷˠʰ,phoible
ʷɗ,phoible
o̞̰ː,phoible
kʷˠʰ,phoible
k̰ʲ,phoible
h̃ʷ,phoible
k̠ʼ,phoible
ʃʷˠ,phoible
ˀl̻̥,phoible
ə̴,phoible
ʊ˞,phoible
ç̻̠,phoible
ŏ̤,phoible
cɕ,phoible
ẽ̙,phoible
i̠̙ː,phoible
ɛ̥ː,phoible
d̪θ̪,phoible
ʔd,phoible
ʰtˑ,phoible
ʔn,phoible
zʰ,phoible
n̪d̪̤,phoible
kʷˠ,phoible
ũ̘,phoible
dːʒ,phoible
nm,phoible
ŋɡ̤,phoible
o̞̯,phoible
